Remaining Points,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Solution 12,Solution 13,Solution 14,Solution 15,Solution 16,Solution 17,Solution 18,Solution 19,Solution 20,Solution 21,Solution 22,Solution 23,Solution 24,Solution 25,Solution 26,Solution 27,Solution 28,Solution 29,Solution 30,Solution 31,Solution 32,Solution 33,Solution 34,Solution 35,Solution 36
58, D4 D25, T6 D20, S8 D25, T8 D17, D9 D20, D10 D19, T10 D14, D11 D18, D12 D17, T12 D11, D13 D16, D14 D15, T14 D8, D15 D14, D16 D13, T16 D5, D17 D12, S18 D20, D18 D11, T18 D2, D19 D10, S20 D19, D20 D9, D25 D4,,,,,,,,,,,,
59, T3 D25, T7 D19, S9 D25, T9 D16, T11 D13, T13 D10, T15 D7, T17 D4, S19 D20, T19 D1, S25 D17,,,,,,,,,,,,,,,,,,,,,,,,,
60, D5 D25, T8 D18, S10 D25, D10 D20, T10 D15, D11 D19, D12 D18, T12 D12, D13 D17, D14 D16, T14 D9, D15 D15, D16 D14, T16 D6, D17 D13, D18 D12, T18 D3, D19 D11, S20 D20, D20 D10, D25 D5,,,,,,,,,,,,,,,
61, T7 D20, T9 D17, S11 D25, T11 D14, T13 D11, T15 D8, T17 D5, T19 D2, S25 D18,,,,,,,,,,,,,,,,,,,,,,,,,,,
62, T4 D25, D6 D25, T8 D19, T10 D16, D11 D20, S12 D25, D12 D19, T12 D13, D13 D18, D14 D17, T14 D10, D15 D16, D16 D15, T16 D7, D17 D14, D18 D13, T18 D4, D19 D12, D20 D11, T20 D1, D25 D6,,,,,,,,,,,,,,,
63, T9 D18, T11 D15, S13 D25, T13 D12, T15 D9, T17 D6, T19 D3, S25 D19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64, D7 D25, T8 D20, T10 D17, D12 D20, T12 D14, D13 D19, S14 D25, D14 D18, T14 D11, D15 D17, D16 D16, T16 D8, D17 D15, D18 D14, T18 D5, D19 D13, D20 D12, T20 D2, D25 D7,,,,,,,,,,,,,,,,,
65, T5 D25, T9 D19, T11 D16, T13 D13, S15 D25, T15 D10, T17 D7, T19 D4, S25 D20,,,,,,,,,,,,,,,,,,,,,,,,,,,
66, D8 D25, T10 D18, T12 D15, D13 D20, D14 D19, T14 D12, D15 D18, S16 D25, D16 D17, T16 D9, D17 D16, D18 D15, T18 D6, D19 D14, D20 D13, T20 D3, D25 D8,,,,,,,,,,,,,,,,,,,
67, T9 D20, T11 D17, T13 D14, T15 D11, S17 D25, T17 D8, T19 D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68, T6 D25, D9 D25, T10 D19, T12 D16, D14 D20, T14 D13, D15 D19, D16 D18, T16 D10, D17 D17, S18 D25, D18 D16, T18 D7, D19 D15, D20 D14, T20 D4, D25 D9,,,,,,,,,,,,,,,,,,,
69, T11 D18, T13 D15, T15 D12, T17 D9, S19 D25, T19 D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
